1	AkabaneVirus	1.000	0.616	1.000	0.370	0.834	0.374	1.000	0.282	1.000	0.857	1.000	0.872	0.540	1.000	0.000	1.000	0.255	0.307	0.287	0.800	0.458	0.293	1.000	0.244	1.000	0.660	0.431	1.000	0.190	0.763	0.021	0.458	0.571	1.000	0.591	1.000	1.000	0.586	0.905	0.302	1.000	0.978	0.402	1.000	1.000	0.449	1.000	0.452	0.833	1.000	0.174	0.956	0.954	0.422	1.000	0.002	1.000	0.643	0.562	1.000	0.633	0.610	0.390	1.000
2	SaccharomycesCerevisiaeL-BCVirus	1.000	0.227	0.824	1.000	0.667	0.222	1.000	0.278	1.000	0.565	0.000	1.000	1.000	0.400	0.000	1.000	0.471	0.294	0.412	0.529	0.765	0.353	1.000	0.176	0.857	1.000	1.000	0.800	0.571	0.214	0.143	0.000	1.000	0.435	0.391	1.000	1.000	0.217	0.348	0.304	1.000	0.520	1.000	0.706	1.000	0.714	1.000	0.429	1.000	0.600	0.400	0.000	0.818	0.318	1.000	0.455	1.000	0.548	1.000	0.542	0.727	1.000	0.545	0.000
3	MammalianOrthoreoVirus1	1.000	0.783	0.711	1.000	0.631	0.346	1.000	0.430	1.000	0.610	0.929	0.214	1.000	0.669	1.000	1.000	0.488	0.264	0.529	0.649	0.775	0.306	1.000	0.488	1.000	0.557	0.842	1.000	0.749	0.469	0.579	0.369	1.000	0.794	0.588	1.000	1.000	0.352	0.845	0.765	1.000	0.549	0.846	1.000	1.000	0.810	1.000	0.000	0.705	0.492	0.538	1.000	1.000	0.432	0.648	0.617	1.000	0.534	0.630	1.000	0.803	0.488	1.000	0.509
4	LactateDehydrogenase-ElevatingVirus	1.000	0.638	0.233	1.000	1.000	0.859	0.880	0.348	1.000	0.993	1.000	0.917	1.000	0.683	0.583	1.000	0.521	0.273	0.306	0.441	0.776	0.733	1.000	0.491	1.000	0.719	0.852	1.000	0.583	0.932	0.621	0.922	1.000	0.743	0.402	1.000	0.553	1.000	0.568	0.214	1.000	0.611	0.679	1.000	0.977	1.000	1.000	0.893	0.861	0.496	0.359	1.000	1.000	0.984	0.691	0.349	1.000	0.789	0.802	1.000	1.000	0.941	0.713	0.595
5	CucumberMosaicVirus	1.000	0.942	0.737	1.000	1.000	0.852	0.561	0.537	1.000	0.667	0.047	0.425	1.000	0.385	1.000	1.000	0.845	0.529	0.386	0.566	1.000	0.684	0.782	0.804	1.000	0.863	1.000	0.765	1.000	0.602	0.470	0.206	1.000	0.462	0.301	1.000	0.909	1.000	0.709	0.826	1.000	0.976	1.000	0.944	1.000	0.515	0.495	0.299	1.000	0.664	0.349	0.586	1.000	0.578	0.284	0.430	1.000	0.737	0.921	1.000	1.000	0.270	0.457	0.436
6	HepatitisEVirus	1.000	0.823	0.211	0.505	1.000	0.765	0.444	0.481	1.000	0.841	0.412	0.158	0.850	1.000	1.000	1.000	1.000	0.783	0.291	0.741	1.000	0.924	0.538	0.741	1.000	0.859	0.228	1.000	0.796	1.000	0.190	0.575	1.000	0.700	0.433	1.000	0.866	1.000	0.525	0.315	1.000	0.737	0.429	1.000	0.807	1.000	0.068	0.238	1.000	0.833	0.190	0.763	0.812	1.000	0.295	0.350	1.000	0.744	0.234	1.000	0.738	1.000	0.118	0.547
7	BlueberryScorchVirus	1.000	0.848	0.399	1.000	1.000	0.670	0.945	0.637	0.694	1.000	0.222	1.000	0.717	1.000	0.000	1.000	0.482	0.569	0.000	0.546	0.740	0.520	1.000	0.551	1.000	0.878	0.603	1.000	0.980	0.853	0.392	0.588	1.000	0.697	0.594	1.000	1.000	0.649	0.746	0.588	1.000	0.553	0.582	1.000	1.000	0.849	0.706	1.000	0.744	0.428	0.326	1.000	1.000	0.542	0.922	0.581	1.000	0.384	0.584	1.000	1.000	0.672	0.394	0.689
8	MushroomBacilliformVirus	0.778	1.000	0.559	1.000	1.000	0.516	0.710	0.000	1.000	0.708	1.000	0.500	1.000	0.478	0.000	1.000	0.941	0.500	0.441	0.000	1.000	0.731	0.500	0.538	1.000	0.529	1.000	0.917	1.000	0.600	0.850	0.500	1.000	0.633	0.400	1.000	1.000	0.273	0.485	0.636	1.000	0.700	1.000	0.682	1.000	0.682	0.900	0.650	1.000	0.879	0.000	0.939	1.000	0.300	0.550	0.375	1.000	0.444	1.000	0.977	1.000	0.294	0.627	0.216
9	SesbaniaMosaicVirus	1.000	0.000	0.410	1.000	1.000	0.897	0.641	0.513	0.793	1.000	0.500	0.000	0.923	1.000	1.000	1.000	0.744	0.513	0.231	0.615	0.966	0.759	1.000	0.828	0.688	1.000	0.515	1.000	0.273	0.545	0.500	0.000	1.000	0.875	0.542	1.000	1.000	0.800	0.467	0.367	0.630	1.000	0.500	1.000	0.760	1.000	1.000	0.000	1.000	0.548	0.214	0.810	1.000	0.333	0.303	0.273	1.000	0.706	0.617	1.000	1.000	0.871	0.645	0.000
10	FlockHouseVirus	1.000	0.915	0.674	1.000	0.551	1.000	0.714	0.490	0.875	1.000	0.000	1.000	1.000	0.667	0.000	1.000	0.783	0.630	0.543	0.804	0.742	0.292	1.000	0.461	1.000	0.639	1.000	0.609	1.000	0.607	0.804	0.393	0.765	1.000	0.603	1.000	0.903	1.000	0.855	0.629	0.584	1.000	1.000	0.812	0.673	1.000	0.679	0.339	1.000	0.827	0.373	0.627	0.955	1.000	0.881	0.612	1.000	0.951	1.000	0.849	0.960	0.613	1.000	0.360
11	StripedJackNervousNecrosisVirus	0.483	1.000	0.110	0.658	0.700	1.000	0.800	0.525	0.514	1.000	1.000	0.000	1.000	0.700	0.000	1.000	0.562	1.000	0.192	0.603	0.783	0.826	0.000	1.000	0.391	1.000	0.795	1.000	0.923	1.000	0.359	0.474	0.885	1.000	0.231	1.000	1.000	0.771	0.686	0.486	0.849	1.000	0.719	1.000	1.000	0.941	0.128	0.103	0.944	1.000	0.194	0.806	1.000	0.587	0.728	0.413	0.691	1.000	0.662	1.000	0.774	1.000	0.710	0.419
12	Macro-brachiumRosenbergiiNodaVirus	1.000	0.507	0.968	1.000	0.882	0.309	1.000	0.088	1.000	0.707	1.000	0.750	1.000	0.575	0.000	1.000	0.855	0.548	0.645	0.306	0.705	0.420	1.000	0.170	1.000	0.645	1.000	0.607	0.921	0.397	0.635	0.175	1.000	0.490	0.327	1.000	1.000	0.437	0.660	0.262	1.000	0.517	0.866	1.000	1.000	0.825	1.000	0.651	1.000	0.491	0.457	0.466	1.000	0.729	0.971	0.486	1.000	0.637	1.000	0.495	1.000	0.359	0.447	0.117
13	PothosLatentVirus	1.000	0.750	0.613	0.880	1.000	0.883	0.783	0.117	1.000	0.983	0.333	1.000	1.000	0.714	0.667	1.000	1.000	0.600	0.480	0.387	0.817	0.783	1.000	0.183	0.871	1.000	1.000	0.839	0.811	0.321	0.000	0.623	1.000	0.605	0.593	1.000	0.945	1.000	0.873	0.582	1.000	0.570	0.673	1.000	1.000	0.745	0.755	1.000	1.000	0.750	0.242	0.683	1.000	0.935	0.688	0.455	1.000	0.613	0.872	1.000	1.000	0.488	0.686	0.895
14	MeaslesVirus	0.617	1.000	0.489	0.912	0.523	0.563	1.000	0.206	0.672	1.000	0.070	1.000	0.766	1.000	0.138	1.000	0.591	0.840	0.728	1.000	0.842	0.804	1.000	0.575	1.000	0.797	1.000	0.671	0.101	0.122	0.303	0.220	0.669	1.000	0.511	1.000	0.744	0.626	1.000	0.138	0.929	1.000	0.967	1.000	0.735	1.000	1.000	0.840	0.825	0.964	0.441	1.000	0.766	0.621	1.000	0.251	1.000	0.877	0.806	1.000	0.882	0.470	0.914	1.000
