1	AkabaneVirus	1.237	0.763	1.987	0.736	1.340	0.600	1.607	0.453	1.077	0.923	1.602	1.398	0.701	1.299	0.000	1.000	0.507	0.609	0.571	1.589	0.919	0.588	2.005	0.489	1.205	0.795	0.602	1.398	0.395	1.587	0.044	0.954	0.792	1.388	0.820	1.000	1.432	0.839	1.296	0.432	1.011	0.989	0.573	1.427	1.380	0.620	2.081	0.940	1.124	1.350	0.235	1.290	1.605	0.709	1.682	0.003	1.217	0.783	0.720	1.280	0.962	0.926	0.593	1.519
2	SaccharomycesCerevisiaeL-BCVirus	1.630	0.370	1.400	1.700	1.231	0.410	1.846	0.513	1.278	0.722	0.000	3.000	1.429	0.571	0.000	1.000	0.800	0.500	0.700	0.900	1.333	0.615	1.744	0.308	0.923	1.077	1.111	0.889	1.333	0.500	0.333	0.000	1.643	0.714	0.643	1.000	2.140	0.465	0.744	0.651	1.316	0.684	1.172	0.828	1.167	0.833	2.333	1.000	1.333	0.800	0.533	0.000	1.263	0.491	1.544	0.702	1.292	0.708	1.297	0.703	0.889	1.222	0.667	0.000
3	MammalianOrthoreoVirus1	1.122	0.878	1.171	1.648	1.049	0.575	1.662	0.714	1.242	0.758	1.300	0.300	1.198	0.802	1.400	1.000	0.804	0.436	0.872	1.069	1.206	0.477	1.557	0.760	1.284	0.716	0.914	1.086	1.200	0.751	0.928	0.591	1.259	1.000	0.741	1.000	1.350	0.476	1.141	1.033	1.292	0.708	0.917	1.083	1.105	0.895	1.602	0.000	1.031	0.720	0.787	1.463	1.483	0.641	0.962	0.914	1.304	0.696	0.773	1.227	1.147	0.697	1.428	0.727
4	LactateDehydrogenase-ElevatingVirus	1.221	0.779	0.504	2.163	1.296	1.113	1.141	0.451	1.003	0.997	1.200	1.100	1.188	0.812	0.700	1.000	1.127	0.591	0.661	0.954	1.035	0.977	1.333	0.654	1.163	0.837	0.920	1.080	0.706	1.129	0.753	1.118	1.399	1.039	0.562	1.000	0.947	1.713	0.973	0.367	1.242	0.758	0.809	1.191	0.989	1.011	1.212	1.082	1.268	0.730	0.529	1.473	1.323	1.301	0.914	0.462	1.118	0.882	0.890	1.110	1.231	1.158	0.878	0.732
5	CucumberMosaicVirus	1.030	0.970	1.089	1.477	1.356	1.155	0.761	0.728	1.200	0.800	0.096	0.866	1.444	0.556	2.038	1.000	1.248	0.781	0.570	0.836	1.223	0.837	0.957	0.983	1.073	0.927	1.133	0.867	1.954	1.175	0.918	0.402	1.701	0.787	0.512	1.000	1.055	1.161	0.824	0.960	1.012	0.988	1.029	0.971	1.320	0.680	0.967	0.584	1.539	1.022	0.537	0.902	1.745	1.009	0.496	0.751	1.152	0.848	0.959	1.041	1.850	0.499	0.845	0.806
6	HepatitisEVirus	1.097	0.903	0.358	0.858	1.487	1.137	0.661	0.715	1.086	0.914	0.788	0.301	0.919	1.081	1.911	1.000	1.700	1.330	0.494	1.259	1.249	1.154	0.672	0.925	1.076	0.924	0.371	1.629	1.666	2.092	0.397	1.204	1.406	0.984	0.609	1.000	1.280	1.478	0.776	0.466	1.151	0.849	0.600	1.400	0.893	1.107	0.143	0.499	1.436	1.195	0.273	1.096	1.322	1.628	0.481	0.569	1.147	0.853	0.379	1.621	1.228	1.664	0.197	0.910
7	BlueberryScorchVirus	1.082	0.918	0.705	1.768	1.230	0.824	1.162	0.784	0.819	1.181	0.462	2.077	0.835	1.165	0.000	1.000	0.851	1.005	0.000	0.965	1.053	0.739	1.423	0.784	1.065	0.935	0.752	1.248	1.302	1.132	0.521	0.781	1.310	0.913	0.778	1.000	1.341	0.871	1.000	0.788	1.288	0.712	0.736	1.264	1.082	0.918	0.937	1.328	1.192	0.685	0.521	1.601	1.314	0.712	1.211	0.763	1.445	0.555	0.737	1.263	1.452	0.976	0.573	1.000
8	MushroomBacilliformVirus	0.875	1.125	0.851	1.522	1.240	0.640	0.880	0.000	1.171	0.829	1.500	0.750	1.353	0.647	0.000	1.000	1.433	0.761	0.672	0.000	1.444	1.056	0.722	0.778	1.308	0.692	1.043	0.957	1.333	0.800	1.133	0.667	1.475	0.934	0.590	1.000	1.671	0.456	0.810	1.063	1.176	0.824	1.189	0.811	1.189	0.811	1.200	0.867	1.082	0.951	0.000	1.016	1.798	0.539	0.989	0.674	1.385	0.615	1.011	0.989	1.872	0.550	1.174	0.404
9	SesbaniaMosaicVirus	1.000	0.000	0.701	1.708	1.311	1.176	0.840	0.672	0.885	1.115	0.750	0.000	0.960	1.040	1.500	1.000	1.270	0.876	0.394	1.051	1.087	0.854	1.126	0.932	0.815	1.185	0.680	1.320	0.424	0.847	0.776	0.000	1.241	1.086	0.672	1.000	1.519	1.215	0.709	0.557	0.773	1.227	0.667	1.333	0.864	1.136	1.553	0.000	1.556	0.852	0.333	1.259	2.095	0.698	0.635	0.571	1.172	0.828	0.763	1.237	1.265	1.102	0.816	0.000
10	FlockHouseVirus	1.044	0.956	0.912	1.353	0.800	1.452	1.037	0.711	0.933	1.067	0.000	1.500	1.200	0.800	0.000	1.000	1.059	0.853	0.735	1.088	1.189	0.468	1.604	0.739	1.220	0.780	1.243	0.757	1.570	0.953	1.262	0.617	0.969	1.267	0.764	1.000	1.067	1.181	1.010	0.743	0.738	1.262	1.104	0.896	0.805	1.195	1.065	0.533	1.415	1.170	0.528	0.887	1.108	1.160	1.022	0.710	1.025	0.975	1.082	0.918	1.309	0.836	1.364	0.491
11	StripedJackNervousNecrosisVirus	0.651	1.349	0.211	1.263	0.926	1.322	1.058	0.694	0.679	1.321	1.000	0.000	1.176	0.824	0.000	1.000	1.079	1.921	0.368	1.158	0.911	0.962	0.000	1.165	0.562	1.438	0.885	1.115	1.854	2.009	0.721	0.953	1.255	1.418	0.327	1.000	1.359	1.049	0.932	0.660	0.918	1.082	0.836	1.164	1.030	0.970	0.258	0.206	1.283	1.358	0.264	1.094	1.466	0.861	1.068	0.606	0.817	1.183	0.797	1.203	1.067	1.378	0.978	0.578
12	Macro-brachiumRosenbergiiNodaVirus	1.327	0.673	1.343	1.388	1.548	0.542	1.755	0.155	1.171	0.829	1.714	1.286	1.270	0.730	0.000	1.000	1.187	0.761	0.896	0.425	1.228	0.733	1.743	0.297	1.216	0.784	1.244	0.756	1.462	0.630	1.008	0.277	1.651	0.810	0.540	1.000	1.695	0.741	1.119	0.444	1.319	0.681	0.928	1.072	1.096	0.904	1.588	1.034	1.657	0.814	0.757	0.771	1.256	0.915	1.220	0.610	1.222	0.778	1.338	0.662	2.081	0.747	0.929	0.242
13	PothosLatentVirus	1.143	0.857	0.929	1.333	1.437	1.269	1.126	0.168	1.008	0.992	0.500	1.500	1.167	0.833	1.000	1.000	1.515	0.909	0.727	0.586	1.174	1.126	1.437	0.263	0.931	1.069	1.088	0.912	1.127	0.445	0.000	0.865	1.365	0.826	0.809	1.000	1.112	1.176	1.027	0.684	1.274	0.726	0.805	1.195	1.146	0.854	1.048	1.389	1.495	1.121	0.361	1.022	1.300	1.215	0.895	0.591	1.240	0.760	0.932	1.068	1.303	0.636	0.894	1.167
14	MeaslesVirus	0.763	1.237	0.644	1.200	0.913	0.983	1.745	0.359	0.803	1.197	0.173	2.484	0.867	1.133	0.343	1.000	0.777	1.105	0.958	1.316	1.046	0.998	1.242	0.714	1.113	0.887	1.197	0.803	0.233	0.282	0.704	0.511	0.921	1.376	0.703	1.000	1.187	0.998	1.595	0.220	0.963	1.037	0.983	1.017	0.847	1.153	2.320	1.949	1.021	1.193	0.547	1.239	1.162	0.942	1.516	0.380	1.066	0.934	0.892	1.108	1.080	0.576	1.120	1.225
15	TupaiaParamyxovirus	1.185	0.815	1.281	1.142	1.630	0.459	0.000	0.281	1.211	0.789	1.286	0.429	1.178	0.822	0.000	1.000	1.165	0.646	1.073	0.692	1.536	0.352	1.712	0.400	1.281	0.719	1.246	0.754	0.607	0.267	0.753	0.340	1.387	0.714	0.899	1.000	1.396	0.760	1.620	0.224	1.264	0.736	1.262	0.738	1.071	0.929	2.623	1.409	1.504	0.605	1.070	0.822	1.324	0.662	1.848	0.166	1.336	0.664	1.376	0.624	1.160	0.505	1.447	0.887
16	MossmanVirus	1.092	0.908	1.205	0.728	1.370	0.638	1.743	0.249	1.257	0.743	2.143	0.429	1.237	0.763	0.000	1.000	1.192	0.791	1.180	0.904	1.580	0.494	1.267	0.658	1.339	0.661	1.063	0.937	0.566	0.385	0.679	0.657	1.171	0.834	0.995	1.000	1.209	0.489	2.032	0.270	1.325	0.675	1.121	0.879	1.245	0.755	2.128	1.585	1.455	0.792	1.078	0.675	1.404	0.472	1.950	0.174	1.351	0.649	1.027	0.973	1.055	0.651	1.420	0.873
